ukprn,he provider,academic year,surplus_vs_income,staff_vs_income,unrestricted_vs_income,ext_borrow_vs_income,net_assets_vs_expend,current_assets_vs_liability,ops_cash_vs_income,net_liquidity_days,debt_service_ratio,avg_salary,avg_remuneration,academic_salary,ps_staff_salary,uk_vs_total_fees,total_fees_vs_income,fbg_vs_income,research_vs_income,donate_vs_income,reside_cater_vs_income,total_income,tuition_fees,finance_vs_expend,depreciate_amort_vs_expend,staff_vs_expend,capital_vs_expend,total_expenditure,vc_bonus_vs_salary,vc_avg_salary,vc_avg_remunerate,vc_median_salary,vc_median_remunerate,provider region,provider country,russell group filter,pre 92 filter,post 92 filter
10001282.0,University of Northumbria at Newcastle,2018/19,0.011,0.581,0.562,0.238,177.988,1.206,0.08,76.521,3.216,42.619,55.031,52.894,32.838,0.819,0.75,0.08,0.034,0.001,0.046,254158.0,190678.0,0.023,0.08,0.588,0.054,251305.0,0.094,5.983,5.851,6.7,7.4,North East,England,Non-member,Non-member,Member
10001282.0,University of Northumbria at Newcastle,2019/20,0.032,0.574,0.146,0.206,27.145,1.469,0.114,97.416,5.083,44.134,58.171,53.654,34.473,0.762,0.771,0.08,0.036,0.001,0.035,277178.0,213734.0,0.022,0.078,0.593,0.033,268295.0,0.066,5.823,5.467,6.4,6.6,North East,England,Non-member,Non-member,Member
10001282.0,University of Northumbria at Newcastle,2020/21,0.051,0.556,0.323,0.188,103.638,1.75,0.141,134.355,7.111,45.014,58.461,54.648,34.561,0.738,0.779,0.08,0.041,0.001,0.027,304134.0,236935.0,0.022,0.071,0.586,0.018,288748.0,0.0,5.709,5.166,6.4,6.3,North East,England,Non-member,Non-member,Member
10001282.0,University of Northumbria at Newcastle,2021/22,0.062,0.538,0.811,0.166,309.42,1.782,0.152,161.563,8.525,45.017,58.922,48.801,40.052,0.699,0.755,0.075,0.06,0.001,0.037,329456.0,248695.0,0.02,0.06,0.574,0.064,308910.0,0.07,5.709,5.601,6.5,7.5,North East,England,Non-member,Non-member,Member
10001478.0,"City, University of London",2016/17,0.035,0.566,1.134,0.266,452.507,2.11,0.11,167.842,9.591,52.777,66.422,,,0.46,0.751,0.097,0.051,0.012,0.01,226701.0,170165.0,0.014,0.068,0.586,0.098,218774.0,0.078,5.855,6.474,0.0,0.0,London,England,Non-member,Member,Non-member
10001478.0,"City, University of London",2017/18,0.05,0.558,1.162,0.25,470.581,2.398,0.109,188.204,19.476,53.13,66.455,67.167,41.394,0.458,0.746,0.095,0.05,0.016,0.011,241235.0,179911.0,0.013,0.068,0.588,0.121,229186.0,0.067,5.91,6.501,8.3,10.0,London,England,Non-member,Member,Non-member
10001478.0,"City, University of London",2018/19,0.038,0.569,0.985,0.247,398.261,1.879,0.098,141.164,21.835,53.734,65.464,68.055,42.014,0.456,0.762,0.095,0.048,0.009,0.011,244080.0,186073.0,0.011,0.068,0.592,0.218,234731.0,0.057,5.844,6.462,8.2,9.5,London,England,Non-member,Member,Non-member
10001478.0,"City, University of London",2019/20,0.005,0.631,0.995,0.246,387.901,1.686,0.068,113.704,15.355,54.359,71.27,68.7,42.725,0.444,0.769,0.1,0.045,0.014,0.005,244991.0,188460.0,0.013,0.067,0.634,0.13,243762.0,0.0,5.887,5.556,7.7,8.5,London,England,Non-member,Member,Non-member
10001478.0,"City, University of London",2020/21,-0.0,0.609,0.948,0.244,372.443,1.664,0.091,125.934,12.88,54.702,70.563,69.703,42.731,0.501,0.771,0.102,0.046,0.01,0.001,246458.0,189959.0,0.012,0.065,0.609,0.058,246568.0,0.0,5.722,5.711,7.55,7.5,London,England,Non-member,Member,Non-member
10001478.0,"City, University of London",2021/22,-0.003,0.601,0.947,0.23,371.507,2.092,0.023,129.693,3.559,56.968,71.442,72.799,43.77,0.488,0.776,0.089,0.049,0.007,0.003,262148.0,203355.0,0.013,0.064,0.599,0.06,262816.0,0.0,5.371,4.311,7.3,6.0,London,England,Non-member,Member,Non-member
